#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      298.9   355.3    86.8   154.7   168.6   226.8   252.6   270.2   285.1   306.2   350.5   817.7  1961.6  4527.8 11078.2   3977.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      350.8   333.2    86.8   155.4   179.7   270.1   313.1   342.0   368.4   412.3   518.7   924.2  1863.3  2875.8 10766.4   8993.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      417.5   743.8    80.4   143.4   174.0   299.2   349.1   382.1   410.4   457.7   578.9  1225.4  2317.1 12825.2 22774.1  14065.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      515.0   570.5    80.4   144.3   174.0   347.8   424.0   481.6   550.1   694.2  1086.1  1585.9  2848.3  5471.6  6449.6  18947.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      518.2   536.8    80.4   144.5   176.1   377.4   463.4   522.8   583.0   691.7   922.6  1565.2  2737.9  5654.7  7360.8  24058.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      371.0   392.3    80.4   133.1   155.6   327.2   399.0   437.4   463.9   495.0   536.4   610.8  1215.6  6560.4  7488.6  29017.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      348.1   292.0    80.4   129.4   149.1   308.7   381.9   422.1   452.7   490.1   534.4   605.5  1064.5  4816.8  6083.3  33994.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      389.9   387.8    80.4   133.8   158.7   333.9   410.6   457.8   492.1   533.9   593.0   705.4  1466.2  6250.4  9120.7  39115.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      545.7   500.2    80.4   142.8   177.2   398.6   522.7   619.8   728.2   888.9  1076.6  1452.0  2462.7  4798.7  8374.6  44043.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      462.6   419.1    80.4   139.3   168.1   356.7   457.5   522.1   579.8   687.0   895.7  1199.9  1874.7  4506.4  6848.6  49003.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      520.8   418.3    74.4   156.6   197.0   408.6   527.5   620.6   730.6   855.6   951.2  1146.8  1947.7  4858.4  7534.3  54137.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      709.6   484.7    80.4   210.0   269.2   652.7   877.6   925.5   958.4   995.7  1058.6  1398.9  2024.8  6201.0 11182.4  58608.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      975.5   328.4   101.3   729.2   779.2   900.9   938.6   971.9   996.4  1028.0  1378.0  1736.2  1946.5  3765.2  7235.0  63740.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1032.2   326.3   187.4   809.0   828.2   932.1   982.2  1009.0  1048.9  1155.8  1516.7  1809.3  2077.7  3709.1  5882.8  61904.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1027.1   348.1   137.8   789.0   819.5   922.3   970.9  1002.8  1037.0  1175.3  1577.1  1799.4  2066.4  3992.5  7158.6  62236.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1031.0   357.4   109.4   784.8   818.0   921.5   973.4  1009.2  1088.0  1253.0  1547.9  1784.4  2157.2  4074.3 12163.8  62016.2
