#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      278.9   264.0    86.8   149.4   162.9   231.5   260.1   276.1   290.2   308.5   339.5   440.2  1406.5  3236.4  6225.0   3973.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      340.4   312.3    86.8   155.3   175.2   265.3   305.2   331.3   354.6   391.6   480.0   852.8  1880.9  2971.2  4483.2   9023.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      387.0   475.8    80.4   148.5   172.4   280.7   323.2   351.2   375.0   419.7   625.4  1196.4  2091.8  4518.6 13143.1  14041.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      438.2   430.2    80.4   143.1   171.0   314.1   371.8   412.7   455.6   558.6   902.7  1339.7  2101.6  3812.8  6148.6  18980.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      446.1   459.9    74.4   137.9   163.3   320.8   387.4   431.5   472.3   559.5   844.7  1401.6  2301.2  4270.5  8279.1  23981.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      342.4   348.2    74.4   132.3   152.4   311.8   371.2   400.7   421.5   444.9   474.6   530.5  1226.4  5288.3  9362.8  29061.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      323.1   275.9    74.4   128.2   147.5   296.0   356.3   388.4   410.4   436.0   469.4   525.6   935.0  4699.7  6719.7  33990.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      336.0   308.2    68.9   124.8   143.9   301.0   368.1   403.0   428.6   457.5   493.9   554.7  1097.0  4769.6  6394.6  38945.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      333.7   267.0    74.4   123.4   143.0   300.5   370.1   408.5   435.6   467.0   506.0   571.1  1145.6  3951.1  5906.3  43916.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      335.6   227.2    74.4   126.1   147.0   303.6   381.5   422.4   452.7   486.8   525.5   587.9   875.9  3541.7  6112.1  48958.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      335.7   206.3    74.4   126.2   147.8   303.5   382.3   425.5   457.9   493.3   535.2   606.4   858.5  2508.4  5252.9  53965.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      379.7   311.4    74.4   132.7   157.6   327.0   411.9   463.2   499.2   541.8   607.0   737.7  1371.1  4108.9  7342.8  59171.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      536.0   369.1    68.9   164.2   211.3   457.1   596.5   704.3   765.3   816.1   867.4   995.9  1740.3  4270.5  6433.0  63764.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      736.7   376.2    80.4   236.7   314.9   741.3   799.7   833.9   857.7   899.0  1064.1  1489.1  1727.9  4249.5  7010.5  68975.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      906.9   336.7   101.3   696.2   719.9   817.1   853.9   871.2   903.9   942.4  1478.7  1599.4  1786.6  4315.3  7640.1  70073.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      938.0   295.6   109.4   740.0   761.3   850.4   886.8   914.7   932.1   977.0  1515.9  1668.9  1841.1  3320.6  5584.3  68174.8
