#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      255.4   280.5    86.8   137.7   147.4   184.4   200.4   211.3   218.9   231.9   260.9   940.7  1913.9  2069.3  2186.7   4002.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      289.7   314.7    86.8   132.3   148.5   205.0   226.0   237.9   250.0   268.1   368.3   994.8  1952.6  2151.0  4983.5   9064.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      344.1   360.0    80.4   131.8   150.2   231.3   259.6   277.3   294.4   329.2   963.3  1075.7  1996.2  2179.1  2641.9  14066.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      348.1   325.5    86.8   130.4   147.9   249.5   284.5   308.7   332.9   397.0   816.8  1065.9  1814.5  2187.7  2750.2  19138.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      417.4   405.7    86.8   128.1   146.2   268.2   314.9   351.8   404.3   972.2  1058.3  1173.5  2023.2  2377.0  4751.3  23964.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      461.9   467.4    80.4   130.5   149.9   289.3   351.1   413.9   581.9  1023.7  1092.8  1350.8  2105.6  2596.5 11630.6  28966.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      512.4   463.6    86.8   133.9   157.8   322.6   417.2   539.0   967.6  1059.1  1150.1  1522.0  2149.8  2504.5  2744.8  33933.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1595.6  1084.5    86.8   430.3   609.0   870.7  2599.4  2686.6  2741.0  2828.1  2955.1  3395.3  3765.2  5345.1  5925.4  37346.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1694.8  1074.9   127.6   631.6   672.7   910.0  2637.6  2708.5  2752.9  2849.3  2981.8  3410.2  3754.7  5329.5  5829.8  37630.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1732.3  1032.1   118.1   657.3   703.5  1302.4  2584.9  2696.2  2765.7  2865.9  2968.6  3399.1  3751.3  5345.6  6952.8  36877.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1722.0  1097.8    93.8   637.7   679.8   939.4  2646.4  2727.3  2785.1  2890.3  3020.6  3460.6  4409.1  5576.4  9173.7  37094.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1736.5  1033.7   101.3   662.2   706.8  1294.4  2593.3  2699.4  2765.7  2867.3  2972.0  3398.4  3748.2  5341.9  7776.8  36808.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1656.2  1080.1   101.3   609.3   650.7   867.1  2618.7  2687.4  2730.3  2782.4  3022.5  3382.7  3736.5  5410.5  8730.6  38598.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1702.9  1023.8   255.0   644.8   688.2  1239.1  2582.4  2678.0  2737.7  2830.4  2964.9  3357.8  3713.4  5090.1  6319.1  37561.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1662.3  1075.9   101.3   610.9   653.1   878.4  2622.4  2691.3  2734.4  2798.6  2983.7  3382.1  3743.2  5394.7  8099.9  38475.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1686.1  1019.4   101.3   627.9   671.9  1224.0  2579.2  2669.0  2725.0  2799.2  2955.9  3337.0  3691.8  4971.2  5518.2  37914.8
