#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      190.6    53.7    93.8   142.5   152.1   187.1   201.3   210.0   215.7   222.9   231.6   246.1   274.1   397.1  3318.4   3999.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      216.4    53.2    93.8   137.6   156.1   215.7   234.4   245.7   253.1   263.0   273.8   293.1   332.4   398.3   840.0   9035.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      223.7    56.8    86.8   133.3   148.6   224.0   246.4   258.7   267.5   277.0   291.1   312.3   357.5   442.8  1211.4  14068.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      240.6    71.8    86.8   127.0   142.0   243.0   270.2   284.7   294.6   307.5   321.6   345.7   404.0   538.6  1416.8  18895.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      245.8    86.5    86.8   126.8   140.2   249.0   279.2   294.9   306.5   318.9   336.3   362.2   422.6   594.2  2769.8  24049.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      254.5   107.3    86.8   126.6   139.6   255.2   289.9   308.3   320.5   336.5   355.9   387.1   464.5  1363.4  3271.8  28775.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      265.5   123.6    86.8   128.6   141.9   262.1   304.3   325.2   340.1   358.0   380.7   419.7   508.0  1499.2  2558.2  34076.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      266.6   101.6    86.8   126.8   140.5   265.0   310.3   333.5   349.3   368.0   392.8   430.1   503.5   628.3  1602.6  38954.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      279.3   118.3    80.4   128.4   143.4   273.5   322.6   349.9   369.0   391.6   420.7   464.6   555.1   711.0  1966.8  43711.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      285.6   121.1    80.4   130.5   146.4   276.6   328.2   356.3   375.8   400.5   432.2   479.6   582.5  1024.4  2538.8  48839.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      306.8   147.2    86.8   135.8   153.1   289.0   344.9   376.7   401.5   431.6   469.1   532.3   740.1  1563.6  3233.6  53869.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1104.4   327.5   109.4   810.0   859.8  1032.5  1087.6  1126.1  1157.9  1193.2  1480.2  1966.4  2196.8  2593.4  5198.1  57308.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1116.4   326.8   109.4   822.2   876.6  1042.0  1090.5  1126.6  1155.5  1184.4  1623.0  1999.6  2205.4  2498.2  3464.2  57027.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1107.5   323.3   109.4   818.0   871.1  1031.0  1079.4  1104.8  1140.3  1175.9  1646.6  1984.4  2183.1  2391.8  4953.2  57702.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1090.3   598.5   109.4   754.8   825.6  1015.3  1072.2  1099.0  1136.4  1175.9  1517.7  1959.4  2184.7  5206.6 38228.3  58611.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1095.6   340.4    93.8   809.7   855.4  1018.4  1070.6  1095.2  1128.5  1171.1  1625.2  1959.0  2169.5  2407.7  7434.5  58372.6
