#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      251.9   113.5   109.4   178.2   189.7   237.0   257.2   269.3   277.7   290.2   306.8   337.2   626.4  1922.0  2199.5   4026.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      290.4   137.1   109.4   178.1   197.0   274.3   305.1   322.3   336.7   353.1   374.4   414.1   800.3  1701.9  3021.8   9029.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      332.2   243.6    93.8   163.1   186.3   298.4   340.6   365.5   383.9   404.4   435.7   497.5  1442.4  3274.0  4267.1  13996.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      355.3   415.9    93.8   155.5   177.6   300.8   351.8   380.4   401.1   427.7   463.5   535.6  1915.8  6257.3  8518.8  19003.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      414.0   534.5    93.8   158.5   183.4   336.1   400.1   436.6   463.7   496.9   547.5   675.3  2351.5  7796.6  9457.5  23891.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      444.9   584.9    93.8   155.6   183.5   347.5   420.8   463.2   496.5   543.0   617.8   941.0  2658.6  7947.1 11682.0  28882.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      441.7   477.0    93.8   156.3   185.3   355.1   435.9   483.6   521.5   573.5   650.7   962.3  2161.6  6378.3  8458.1  34081.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      447.2   353.9    93.8   164.2   199.5   382.8   466.5   517.7   560.1   611.8   685.4   903.1  1680.0  5100.6  6971.0  38999.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      644.9   492.0    93.8   201.9   254.7   518.3   677.0   810.7   933.9  1052.0  1159.6  1311.6  2297.0  6229.1  9826.5  44078.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      763.9   469.8    93.8   235.2   294.2   690.4   916.0  1007.7  1058.9  1114.1  1194.0  1488.1  2241.9  5100.5  7879.9  48901.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1380.8   398.4   255.0  1130.4  1177.0  1290.9  1340.6  1364.1  1378.7  1419.9  1489.3  2432.2  2736.8  5274.2  9454.7  46320.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1301.0   361.8   127.6  1054.0  1101.5  1210.2  1256.2  1277.8  1310.2  1356.4  1470.8  2290.6  2564.0  4136.0  6446.2  49119.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1357.1   420.7   160.7  1106.6  1130.2  1252.5  1300.3  1337.3  1360.5  1383.6  1523.7  2403.9  2758.5  5613.9  8338.1  47112.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1334.3   462.9   236.1  1069.6  1108.3  1223.0  1266.9  1296.1  1335.9  1375.7  1553.6  2330.3  2870.3  6429.1  9495.9  47929.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1281.0   386.6   118.1  1036.5  1068.6  1178.5  1229.8  1256.2  1272.7  1315.3  1474.2  2266.8  2553.8  4922.8  7671.5  49925.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1381.1   474.2   255.0  1109.1  1137.7  1267.3  1325.2  1356.7  1376.4  1429.4  1573.1  2432.6  2838.6  6204.5 10931.2  46311.6
