#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      269.3   258.9   101.3   154.3   165.6   208.4   226.7   237.3   247.6   260.2   285.9   835.5  1738.5  2184.8  2316.7   4024.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      315.3   309.8    86.8   148.2   166.3   230.2   255.2   272.2   287.1   309.8   388.7  1115.0  2043.4  2193.8  2348.4   9027.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      363.5   345.1    93.8   145.2   165.7   254.9   292.1   316.5   340.2   388.2   872.8  1175.0  1914.9  2290.5  2844.6  14019.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      390.5   359.7    86.8   141.5   161.7   274.4   320.2   354.7   390.9   491.2   963.8  1223.0  1878.8  2342.7  2908.3  19046.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      504.8   457.2    93.8   142.9   167.9   320.7   410.0   511.6   684.8  1121.0  1236.4  1428.7  2202.7  2492.8  2771.0  24026.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      690.3   717.3    86.8   145.6   173.8   365.7   584.5   973.8  1170.6  1278.5  1582.6  2401.4  3178.3  4058.8  5335.6  28951.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1732.1  1176.8    93.8   298.1   492.6  1168.1  2682.4  2843.8  2946.1  3061.0  3186.2  3566.4  4669.3  6164.9  7369.8  32561.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1899.0  1136.9   109.4   634.7   705.8  1390.1  2764.5  2901.3  2987.0  3101.5  3218.0  3633.2  4393.8  5929.7  7828.3  33218.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1914.7  1132.8   109.4   667.5   728.8  1444.3  2768.4  2889.6  2965.5  3084.6  3227.9  3633.9  4457.2  5986.8  8405.6  33361.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1928.7  1131.6   109.4   686.4   748.6  1485.1  2804.6  2898.2  2956.8  3058.4  3228.8  3642.7  4645.2  6046.3  7204.4  33133.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1909.2  1129.7   202.4   676.2   734.5  1431.9  2770.8  2884.3  2955.3  3065.9  3220.9  3641.3  4598.7  5927.4  6623.8  33482.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1908.7  1131.8   127.6   678.1   737.9  1446.5  2781.7  2884.2  2948.3  3046.4  3221.1  3634.8  4474.4  5941.8 10020.1  33493.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1925.0  1132.6   118.1   704.1   757.7  1520.7  2804.3  2888.0  2940.3  2992.6  3282.2  3666.4  4701.2  5894.0  7479.4  33222.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1926.6  1128.7   137.8   698.9   753.7  1509.6  2808.5  2895.2  2949.3  3031.5  3227.3  3658.7  4433.2  5855.3  6860.2  33192.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1905.9  1125.8   236.1   683.8   739.8  1458.1  2774.2  2878.1  2942.9  3037.9  3233.1  3630.5  4383.5  5881.4  7904.9  33554.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1949.4  1128.9   187.4   710.9   764.4  1569.8  2826.8  2906.4  2956.2  3042.1  3228.3  3666.6  4722.9  5871.0  6966.4  32810.0
