#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      313.6   345.1   101.3   165.7   177.8   222.2   240.1   251.4   261.3   273.9   302.8  1149.1  2125.3  2266.1  2364.8   3987.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      361.5   364.7    86.8   158.8   182.7   252.3   279.0   296.8   314.1   340.7   822.4  1212.3  2111.3  2323.7  2375.1   9027.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      416.8   410.1    93.8   151.2   176.7   275.3   316.1   346.1   378.3   468.3  1166.8  1290.5  2163.8  2357.7  2536.1  13872.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      460.2   501.2    86.8   144.5   168.6   295.4   351.4   397.8   464.8   839.9  1221.0  1354.7  2165.2  2519.0 16074.1  18976.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      525.7   479.3    86.8   145.8   169.5   324.1   420.1   533.6   759.3  1205.1  1296.7  1472.6  2256.5  2516.5  2748.4  23963.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      824.4   839.6    86.8   156.4   189.4   435.2   797.9  1199.1  1311.2  1460.7  2193.0  2854.2  3475.3  5285.3  6421.1  29021.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1660.7  1152.5    93.8   283.6   429.9  1080.0  2655.1  2820.4  2898.8  2977.1  3151.4  3535.5  4237.4  5730.0  7802.4  33172.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1942.2  1139.3   101.3   702.1   757.6  1545.2  2837.9  2910.0  2955.1  3026.8  3232.8  3661.4  4439.1  5988.4 10471.8  32799.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1993.3  1135.4   118.1   720.9   776.1  1677.1  2868.0  2941.9  2988.1  3111.2  3284.7  3700.6  4357.8  5909.9  6461.1  32021.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1983.1  1151.4   160.7   707.3   759.6  1610.7  2851.9  2934.9  2986.7  3125.9  3346.3  3676.8  4611.6  6077.0  8699.6  32228.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1925.7  1139.3    93.8   678.0   732.7  1468.0  2820.7  2911.4  2968.0  3083.2  3263.9  3640.9  4366.0  6019.3  7252.5  33184.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1926.0  1132.4   101.3   678.9   734.5  1509.7  2821.5  2905.6  2958.1  3054.7  3244.1  3633.1  4312.4  5844.8  9089.6  33190.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     2018.9  1145.1   148.8   727.7   784.1  1802.4  2874.9  2946.5  2991.3  3121.9  3314.5  3695.0  4682.6  6229.4  9115.3  31681.7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1936.0  1133.4   255.0   704.3   757.4  1540.3  2832.5  2903.7  2948.2  2992.7  3299.8  3658.9  4351.0  5907.7  7488.3  33031.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1983.8  1139.8   137.8   720.3   773.9  1662.6  2858.8  2928.3  2971.7  3084.6  3328.8  3704.3  4551.1  5915.6  6928.3  32233.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1937.7  1138.0   187.4   701.3   754.8  1526.5  2836.4  2911.3  2958.1  3043.8  3254.7  3649.9  4363.8  5992.6  8735.7  33005.2
