#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      307.5   336.8    93.8   164.9   177.9   220.8   237.9   249.7   258.7   271.4   295.1  1142.8  2113.2  2292.9  4752.4   3965.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      373.6   386.5    86.8   157.2   180.2   251.1   280.4   301.0   319.8   358.3  1108.9  1239.9  2142.7  2345.8  2406.8   9018.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      423.9   408.1    86.8   147.4   174.2   279.1   323.8   360.1   400.3   530.6  1185.6  1302.3  2140.3  2366.0  2550.9  13939.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      464.1   443.9    86.8   141.5   165.4   295.4   355.9   409.6   490.3  1077.4  1235.0  1367.1  2204.7  2424.6  3633.2  18980.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      550.1   507.5    86.8   144.9   170.7   336.4   443.7   582.1   850.3  1230.9  1332.3  1579.7  2308.5  2596.5  5954.1  24128.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      805.2   817.3    86.8   153.0   188.6   426.9   762.2  1180.5  1298.7  1440.3  2095.9  2815.1  3401.3  4381.6  6424.6  29189.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1714.8  1157.3    93.8   320.4   499.3  1147.0  2700.7  2848.6  2920.6  2992.6  3171.2  3550.8  4324.1  5941.3  9456.6  32839.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1963.6  1137.9   127.6   700.1   757.1  1562.3  2851.2  2933.8  2985.4  3104.4  3241.6  3650.3  4391.8  6008.3  6636.6  32419.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1906.9  1124.2   118.1   696.8   747.5  1493.0  2816.3  2890.0  2936.1  2982.2  3220.9  3638.7  4345.0  5762.2  6694.1  33493.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1970.6  1134.1   101.3   711.7   767.7  1603.8  2853.9  2930.1  2977.7  3090.8  3240.3  3659.6  4381.4  5979.7  8341.5  32407.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1966.0  1138.7   137.8   709.4   762.8  1587.8  2847.1  2924.0  2972.1  3081.9  3256.4  3665.0  4368.0  6124.1  8855.1  32526.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1906.5  1132.8   137.8   691.0   742.8  1474.5  2811.5  2888.3  2936.3  2984.3  3262.3  3652.2  4521.9  5866.9  8320.8  33535.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1962.1  1143.9   109.4   697.4   753.0  1564.1  2844.4  2929.3  2982.4  3109.2  3304.2  3671.0  4414.2  6074.4  8771.0  32592.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     2002.6  1145.1   137.8   709.0   762.0  1693.7  2870.3  2959.8  3037.1  3145.5  3318.0  3668.0  4384.4  6151.3  8142.0  31929.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1921.2  1137.5   101.3   699.7   751.8  1516.5  2819.6  2896.4  2944.4  2992.4  3246.1  3646.5  4330.4  5907.5 10968.0  33282.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1925.4  1124.0   127.6   703.2   756.1  1521.9  2828.8  2898.1  2941.4  2984.7  3255.6  3638.7  4284.4  5804.7  6814.2  33208.2
