#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      230.2    66.1   109.4   166.9   179.4   225.0   242.9   253.3   261.8   270.9   283.7   304.0   356.4   674.3  3114.1   3973.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      247.7    56.8   101.3   158.2   178.4   244.4   267.8   281.1   291.4   303.7   318.6   344.2   400.5   484.2   841.1   9003.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      266.3    87.4    93.8   149.4   169.8   264.3   294.3   310.5   320.9   336.0   354.3   384.1   442.4   574.2  3869.5  14020.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      278.3    94.6    86.8   142.8   160.4   277.7   312.6   331.6   344.8   362.0   382.6   413.7   481.2   739.2  2334.4  19046.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      281.8   103.5    93.8   142.8   158.5   280.2   320.5   341.5   357.0   374.1   397.5   432.3   508.0   638.7  2144.2  24046.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      285.5   106.6    93.8   139.3   154.7   284.6   329.7   352.5   368.2   386.9   409.4   446.8   527.3   681.8  1772.2  28885.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      299.0   119.4    86.8   140.3   156.5   293.1   344.8   372.0   391.6   414.2   443.2   490.7   595.7   763.8  1714.5  33964.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      301.0   128.5    86.8   139.4   155.5   292.6   346.9   376.6   397.0   421.6   453.2   501.1   617.6   817.3  3574.8  38971.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      332.2   193.7    86.8   141.1   159.1   304.3   366.5   399.9   425.7   457.9   502.5   596.7  1062.7  1960.6  3430.0  43987.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1069.4   523.1    93.8   226.9   315.4  1077.0  1232.0  1358.1  1435.0  1509.6  1597.5  1954.3  2795.9  3183.9  5483.2  49009.3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1201.2   386.6   101.3   848.2   911.2  1103.1  1176.2  1245.0  1325.0  1473.8  1694.4  2094.7  2465.6  3195.9  6432.3  52408.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1292.3   396.4   109.4   899.6   955.2  1167.2  1351.9  1450.4  1507.7  1575.9  1709.0  2132.4  2881.2  3213.9  6140.4  49360.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1242.9   379.7   109.4   892.3   947.4  1132.1  1218.4  1297.4  1399.4  1511.3  1721.6  2124.7  2612.3  3179.7  6611.5  51417.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1278.7   381.7   160.7   908.3   962.2  1158.5  1271.1  1404.0  1488.2  1572.3  1714.2  2140.7  2786.2  3210.3  6078.3  49998.9
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1269.8   407.2   160.7   894.4   952.8  1154.0  1257.3  1370.4  1457.9  1551.6  1714.3  2153.9  2780.6  3226.0 10184.8  50359.4
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1257.8   376.5   255.0   913.7   965.4  1149.6  1228.8  1278.9  1369.6  1515.6  1723.7  2164.6  2551.7  3250.9  6363.6  50852.0
