#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      291.5   152.8   127.6   199.9   211.9   265.4   289.7   305.6   318.1   334.9   357.2   402.7  1039.0  2268.6  3232.7   3991.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      340.5   223.5   109.4   192.5   216.5   313.8   354.5   377.5   394.9   415.9   444.6   498.5  1127.8  3671.8  5410.6   9021.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      390.3   429.1   109.4   179.0   206.8   337.8   387.1   414.6   434.3   460.9   496.7   566.3  2078.4  6267.6  8062.0  14048.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      410.4   441.9   101.3   176.4   204.5   362.2   423.0   456.9   481.4   509.9   552.8   637.3  1620.5  7893.1 10916.8  18958.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      452.9   462.4    93.8   177.7   210.5   386.7   461.2   504.4   539.5   587.7   659.3   791.5  1830.8  7435.8  8775.2  23990.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      682.3   753.5   101.3   178.4   216.8   424.4   539.5   637.7   751.8  1419.5  1810.0  2008.7  3434.9  8189.6 11599.0  29008.0
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read      782.9   686.2   101.3   202.7   255.3   505.3   686.4   928.9  1283.6  1448.5  2040.9  2227.2  2730.6  5107.9  7330.0  33911.2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1094.5   667.8   101.3   281.9   354.7  1115.8  1354.6  1423.4  1466.4  1542.3  1952.6  2250.6  2920.8  6316.8  8823.0  39161.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1530.9   495.2   127.6  1170.2  1210.2  1364.0  1454.6  1551.1  1836.9  1992.3  2141.2  2501.6  3205.5  5720.2  9389.0  41433.8
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1483.3   389.4   255.0  1206.0  1250.1  1400.9  1458.4  1485.4  1513.1  1564.8  1616.4  2555.4  2946.1  4836.1  8093.3  43045.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1725.0   516.4   297.4  1386.8  1411.6  1570.3  1636.2  1697.2  1735.4  1951.0  2411.2  2827.5  3482.8  6506.7  9439.6  37073.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1621.5   612.1   148.8  1217.7  1263.4  1423.1  1504.0  1663.1  1898.2  2028.0  2188.3  2668.3  3984.8  7948.7 11558.0  39432.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1578.5   474.2   297.4  1225.5  1282.7  1426.1  1489.7  1572.0  1689.5  1986.9  2154.1  2598.9  3167.7  5730.0  8479.0  40519.1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1587.5   469.8   275.4  1290.7  1317.3  1462.7  1525.5  1572.8  1602.4  1682.7  2001.7  2656.0  3209.9  6275.5  8612.0  40290.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1577.9   402.9   437.0  1297.3  1329.1  1475.0  1540.4  1577.7  1601.0  1652.2  1801.1  2654.3  3149.7  4769.3  6820.4  40536.6
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999 QPS
read     1788.9   510.9   297.4  1310.7  1359.0  1559.1  2037.3  2192.0  2255.0  2315.1  2375.1  2583.0  3377.5  4909.9  6582.9  35757.7
